Configuration,n feat,Recall,F2,AUC,PR AUC
PHQ-8 total score alone,1,0.7727272727272727,0.6910569105691057,0.8728275401069518,0.6061459356204474
BHS total score alone,1,0.8181818181818182,0.7003891050583657,0.872022362664074,0.6338692298432298
PHQ-8 + GAD-7 + BHS total scores,3,0.8181818181818182,0.7346938775510204,0.9149702236266407,0.7296771891543721
All seven total scores,7,0.8636363636363636,0.7692307692307693,0.9282328633932913,0.7449519643052483
Item-level model (proposed),108,0.8409090909090909,0.7581967213114754,0.9145296548371414,0.7414542028814343
