Metrica,Apparent,Optimism,Corrected,Hold-out 70/30
AUC,0.9407414305983927,0.01575908571593453,0.9249823448824581,0.9145296548371414
PR AUC,0.7698288566430057,0.04178404850608066,0.7280448081369251,0.7414542028814343
