Model,n_features,Precision,Recall,F2,AUC,PR AUC
Completo (108 features),108,0.5441176470588235,0.8409090909090909,0.7581967213114754,0.9145296548371414,0.7414542028814343
Sin BHS,88,0.5182481751824818,0.8068181818181818,0.7259713701431493,0.9089086047642196,0.7320238430856436
Sin BHS + CAPE-P15,73,0.496551724137931,0.8181818181818182,0.7243460764587525,0.9072982498784637,0.7166859001548452
PHQ-8 + GAD-7 only (affective core),15,0.47368421052631576,0.8181818181818182,0.7142857142857143,0.8915289256198347,0.6917786796970181
