threshold,nb_model_calibrated,nb_distal,nb_treat_all
0.01,0.18190563645109098,0.1822991822991823,0.1822991822991823
0.014949494949494949,0.17990582018473733,0.17819055431852807,0.17819055431852807
0.0198989898989899,0.1780171973411178,0.1740404293223009,0.1740404293223009
0.02484848484848485,0.1763295747136642,0.1698481754417118,0.1698481754417118
0.029797979797979796,0.17327960951073912,0.16561314791403287,0.16561314791403287
0.03474747474747475,0.16974082147795,0.16133468875201817,0.16133468875201817
0.039696969696969696,0.16830728963894,0.15701212640310147,0.15701212640310147
0.04464646464646465,0.16735322899416788,0.15264477539800017,0.15264477539800017
0.049595959595959596,0.16634368217958398,0.14823193598833942,0.14823193598833942
0.05454545454545454,0.1652097902097902,0.14377289377289376,0.14377289377289376
0.059494949494949496,0.1662089387360572,0.13926691931202723,0.13926691931202723
0.06444444444444444,0.1654173221869184,0.1347132677298948,0.1347132677298948
0.06939393939393938,0.1630290907399341,0.1301111783039494,0.1301111783039494
0.07434343434343434,0.15794063349715903,0.12545987404127953,0.12545987404127953
0.07929292929292929,0.1566835979891383,0.12075856124128202,0.12075856124128202
0.08424242424242423,0.15188043811472007,0.1160064290441524,0.1160064290441524
0.08919191919191918,0.15064738226543706,0.11120264896465407,0.11120264896465407
0.09414141414141414,0.1474612957663805,0.10634637441060277,0.10634637441060277
0.09909090909090908,0.1462141961637421,0.10143674018547882,0.10143674018547882
0.10404040404040403,0.146210046999224,0.09647286197455307,0.09647286197455307
0.10898989898989898,0.14526702560939042,0.09145383581388569,0.09145383581388569
0.11393939393939392,0.14405931505794708,0.08637873754152825,0.08637873754152825
0.11888888888888888,0.14342215161887292,0.0812466222302288,0.0812466222302288
0.12383838383838383,0.14343856896312512,0.07605652360090912,0.07605652360090912
0.12878787878787878,0.14259363824581217,0.07080745341614905,0.07080745341614905
0.13373737373737374,0.14176378658654779,0.06549840085287846,0.06549840085287846
0.1386868686868687,0.14129779762475903,0.0601283318534403,0.0601283318534403
0.14363636363636365,0.13834891223426254,0.054696188454150224,0.054696188454150224
0.1485858585858586,0.13758057499901133,0.049200888090436046,0.049200888090436046
0.15353535353535352,0.1354492762607321,0.043641322877599725,0.043641322877599725
0.15848484848484848,0.13339475312827853,0.03801635886619684,0.03801635886619684
0.16343434343434343,0.13316000589605997,0.03232483527098354,0.03232483527098354
0.16838383838383839,0.132097466483474,0.026565563672329096,0.026565563672329096
