Tier,n,Casos reales,Tier precision,NNS
Tier 1 (p>=0.80),31,28,0.9032258064516129,1.1071428571428572
Tier 2 (0.50<=p<0.80),48,26,0.5416666666666666,1.8461538461538463
Tier 3 (p<0.50),383,34,0.08877284595300261,11.264705882352942
