Model,n_features,Precision,Recall,F2,AUC,PR AUC
Distal factors (personal and family history),5,0.3163841807909605,0.6363636363636364,0.5293005671077504,0.7072496353913466,0.33227088252757586
Distal + demographics,9,0.3373493975903614,0.6363636363636364,0.5405405405405406,0.7358410306271268,0.350586411553101
"Classical scales, item level (PHQ-8+GAD-7+BHS)",35,0.5289855072463768,0.8295454545454546,0.7448979591836735,0.9129192999513855,0.7369251207854773
Indirect item-level model (proposed),108,0.5441176470588235,0.8409090909090909,0.7581967213114754,0.9145296548371414,0.7414542028814343
